COD_PRODUCTO,COD_CATEGORIA,COD_CLIENTE,COD_PAIS,COD_VENDEDOR,COD_SUCURSAL,Fecha,Cantidad_Vendida,Monto_Vendido,Precio,Comision_Comercial
P00017,C00003,CLI00383,COL,V00018,SUC00038,12/2/2016,13,140.000,"10769,23077",16.800
P00017,C00003,CLI00383,COL,V00018,SUC00038,13/12/2019,13,140.000,"10769,23077",16.800
P00017,C00003,CLI00383,COL,V00018,SUC00038,12/2/2020,13,140.000,"10769,23077",16.800
P00017,C00003,CLI00342,MEX,V00014,SUC00048,15/5/2018,23,240.000,"10434,78261",43.200
P00017,C00003,CLI00342,MEX,V00014,SUC00048,15/5/2021,23,240.000,"10434,78261",43.200
P00017,C00003,CLI00523,PAR,V00002,SUC00047,26/1/2018,19,200.000,"10526,31579",28.000
P00017,C00003,CLI00523,PAR,V00002,SUC00047,26/1/2021,19,200.000,"10526,31579",28.000
P00017,C00003,CLI00523,PER,V00040,SUC00061,15/6/2016,35,360.000,"10285,71429",28.800
P00017,C00003,CLI00724,HON,V00057,SUC00015,15/8/2017,11,120.000,"10909,09091",22.800
P00017,C00003,CLI00148,ECU,V00036,SUC00029,20/10/2016,44,450.000,"10227,27273",27.000
P00017,C00003,CLI00148,ECU,V00036,SUC00029,20/10/2020,44,450.000,"10227,27273",27.000
P00017,C00003,CLI00148,GUA,V00011,SUC00028,8/2/2019,29,300.000,"10344,82759",51.000
P00017,C00003,CLI00501,URU,V00049,SUC00063,10/6/2018,39,400.000,"10256,41026",40.000
P00017,C00003,CLI00501,URU,V00049,SUC00063,10/6/2021,39,400.000,"10256,41026",40.000
P00017,C00003,CLI00227,ECU,V00007,SUC00002,12/3/2019,34,1.520.000,"44705,88235",288.800
P00017,C00003,CLI00227,PAR,V00043,SUC00009,12/3/2019,19,200.000,"10526,31579",24.000
P00017,C00003,CLI00524,CRI,V00001,SUC00031,30/9/2016,28,2.590.000,92500,362.600
P00017,C00003,CLI00524,CRI,V00001,SUC00031,30/9/2020,28,2.590.000,92500,362.600
P00017,C00003,CLI00524,ESP,V00045,SUC00008,19/4/2016,36,2.160.000,60000,432.000
P00017,C00003,CLI00524,ESP,V00045,SUC00008,19/4/2020,36,2.160.000,60000,432.000
P00017,C00003,CLI00445,CRI,V00003,SUC00026,18/12/2018,40,430.000,10750,68.800
P00017,C00003,CLI00563,DOM,V00059,SUC00011,8/11/2017,14,150.000,"10714,28571",16.500
P00017,C00003,CLI00471,COL,V00031,SUC00054,22/6/2016,11,120.000,"10909,09091",18.000
P00017,C00003,CLI00485,GUA,V00016,SUC00007,30/12/2018,29,370.000,"12758,62069",29.600
P00017,C00003,CLI00328,PER,V00013,SUC00036,30/8/2019,46,490.000,"10652,17391",49.000
P00017,C00003,CLI00726,ESP,V00045,SUC00008,29/8/2019,3,40.000,"13333,33333","0,44"
P00017,C00003,CLI00726,PER,V00009,SUC00055,7/5/2019,10,110.000,11000,16.500
P00017,C00003,CLI00687,COL,V00046,SUC00019,26/10/2018,19,210.000,"11052,63158",25.200
P00017,C00003,CLI00704,COL,V00039,SUC00012,12/9/2016,33,340.000,"10303,0303",27.200
P00017,C00003,CLI00704,COL,V00039,SUC00012,12/9/2020,33,340.000,"10303,0303",27.200
P00017,C00003,CLI00468,CHI,V00030,SUC00051,14/7/2017,20,220.000,11000,13.200
P00017,C00003,CLI00468,CHI,V00030,SUC00051,14/7/2020,20,220.000,11000,13.200
P00017,C00003,CLI00468,PAR,V00043,SUC00009,2/2/2019,23,620.000,"26956,52174",37.200
P00017,C00003,CLI00302,HON,V00057,SUC00015,16/1/2019,33,690.000,"20909,09091",75.900
P00017,C00003,CLI00584,MEX,V00014,SUC00048,23/6/2017,23,370.000,"16086,95652",29.600
P00017,C00003,CLI00584,MEX,V00014,SUC00048,23/6/2020,23,370.000,"16086,95652",29.600
P00017,C00003,CLI00351,ESP,V00026,SUC00046,13/4/2016,1,20.000,20000,0.2200
P00017,C00003,CLI00351,ESP,V00026,SUC00046,13/4/2020,1,20.000,20000,0.2200
P00017,C00003,CLI00760,ESP,V00012,SUC00050,20/4/2017,26,310.000,"11923,07692",58.900
P00017,C00003,CLI00636,PAR,V00033,SUC00018,1/2/2019,48,510.000,10625,35.700
P00017,C00003,CLI00636,DOM,V00028,SUC00044,20/5/2018,34,540.000,"15882,35294",43.200
P00017,C00003,CLI00636,DOM,V00028,SUC00044,20/5/2021,34,540.000,"15882,35294",43.200
P00017,C00003,CLI00688,GUA,V00056,SUC00017,24/12/2018,9,470.000,"52222,22222",37.600
P00017,C00003,CLI00199,CHI,V00023,SUC00059,9/10/2016,30,310.000,"10333,33333",37.200
P00017,C00003,CLI00199,CHI,V00023,SUC00059,9/10/2020,30,310.000,"10333,33333",37.200
P00017,C00003,CLI00199,COL,V00018,SUC00038,12/8/2016,7,100.000,"14285,71429","0,9"
P00017,C00003,CLI00199,COL,V00018,SUC00038,12/8/2020,7,100.000,"14285,71429","0,9"
P00017,C00003,CLI00787,CRI,V00003,SUC00026,30/9/2016,47,500.000,"10638,29787",100.000
P00017,C00003,CLI00787,CRI,V00003,SUC00026,4/6/2017,21,220.000,"10476,19048",17.600
P00017,C00003,CLI00787,CRI,V00003,SUC00026,4/6/2020,21,220.000,"10476,19048",17.600
P00017,C00003,CLI00787,CRI,V00003,SUC00026,30/9/2020,47,500.000,"10638,29787",100.000
P00017,C00003,CLI00069,CRI,V00003,SUC00026,2/12/2016,9,100.000,"11111,11111","0,5"
P00017,C00003,CLI00666,HON,V00020,SUC00032,8/7/2018,7,80.000,"11428,57143","0,72"
P00017,C00003,CLI00666,HON,V00020,SUC00032,8/7/2021,7,80.000,"11428,57143","0,72"
P00017,C00003,CLI00321,ESP,V00012,SUC00050,27/11/2018,14,150.000,"10714,28571",22.500
P00017,C00003,CLI00321,ESP,V00012,SUC00050,27/11/2020,14,150.000,"10714,28571",22.500
P00017,C00003,CLI00321,GUA,V00011,SUC00028,21/7/2017,29,480.000,"16551,72414",81.600
P00017,C00003,CLI00321,GUA,V00011,SUC00028,15/9/2018,34,360.000,"10588,23529",21.600
P00017,C00003,CLI00321,GUA,V00011,SUC00028,21/7/2020,29,480.000,"16551,72414",81.600
P00017,C00003,CLI00321,GUA,V00011,SUC00028,15/9/2021,34,360.000,"10588,23529",21.600
P00017,C00003,CLI00321,DOM,V00004,SUC00041,28/8/2019,24,250.000,"10416,66667",50.000
P00017,C00003,CLI00029,ECU,V00050,SUC00023,27/3/2016,26,330.000,"12692,30769",36.300
P00017,C00003,CLI00029,ECU,V00050,SUC00023,26/1/2020,26,330.000,"12692,30769",36.300
P00017,C00003,CLI00029,ECU,V00050,SUC00023,27/3/2020,26,330.000,"12692,30769",36.300
P00017,C00003,CLI00029,HON,V00057,SUC00015,20/2/2016,41,430.000,"10487,80488",77.400
P00017,C00003,CLI00029,HON,V00057,SUC00015,21/12/2019,41,430.000,"10487,80488",77.400
P00017,C00003,CLI00029,HON,V00057,SUC00015,20/2/2020,41,430.000,"10487,80488",77.400
P00017,C00003,CLI00385,ECU,V00007,SUC00002,25/10/2019,40,410.000,10250,61.500
P00017,C00003,CLI00385,DOM,V00004,SUC00041,26/5/2016,37,390.000,"10540,54054",50.700
P00017,C00003,CLI00385,DOM,V00004,SUC00041,26/5/2020,37,390.000,"10540,54054",50.700
P00017,C00003,CLI00025,ECU,V00050,SUC00023,4/7/2017,8,90.000,11250,13.500
P00017,C00003,CLI00025,ECU,V00050,SUC00023,4/7/2020,8,90.000,11250,13.500
P00017,C00003,CLI00061,COL,V00039,SUC00012,10/3/2018,27,280.000,"10370,37037",30.800
P00017,C00003,CLI00061,COL,V00039,SUC00012,10/3/2021,27,280.000,"10370,37037",30.800
P00017,C00003,CLI00520,CHI,V00030,SUC00051,30/7/2019,4,780.000,195000,117.000
P00017,C00003,CLI00520,COL,V00046,SUC00019,7/5/2019,11,130.000,"11818,18182","0,91"
P00017,C00003,CLI00310,ARG,V00042,SUC00043,11/6/2019,2,30.000,15000,"0,42"
P00017,C00003,CLI00310,COL,V00046,SUC00019,24/7/2016,14,160.000,"11428,57143",27.200
P00017,C00003,CLI00310,PAR,V00002,SUC00047,13/2/2018,23,240.000,"10434,78261",45.600
P00017,C00003,CLI00310,PAR,V00002,SUC00047,13/2/2021,23,240.000,"10434,78261",45.600
P00017,C00003,CLI00444,ARG,V00058,SUC00024,9/5/2018,16,170.000,10625,27.200
P00017,C00003,CLI00444,ARG,V00058,SUC00024,9/5/2021,16,170.000,10625,27.200
P00017,C00003,CLI00444,HON,V00024,SUC00021,6/9/2018,8,90.000,11250,17.100
P00017,C00003,CLI00444,HON,V00024,SUC00021,6/9/2021,8,90.000,11250,17.100
P00017,C00003,CLI00444,PER,V00013,SUC00036,17/6/2016,25,260.000,10400,26.000
P00017,C00003,CLI00664,HON,V00006,SUC00030,6/5/2017,9,100.000,"11111,11111",14.000
P00017,C00003,CLI00132,ARG,V00042,SUC00043,29/11/2017,48,520.000,"10833,33333",67.600
P00017,C00003,CLI00132,GUA,V00015,SUC00004,19/12/2016,36,770.000,"21388,88889",123.200
P00017,C00003,CLI00027,URU,V00010,SUC00034,1/10/2019,27,290.000,"10740,74074",58.000
P00017,C00003,CLI00136,ECU,V00029,SUC00025,22/7/2019,10,110.000,11000,17.600
P00017,C00003,CLI00136,MEX,V00047,SUC00056,6/1/2018,47,500.000,"10638,29787",65.000
P00017,C00003,CLI00136,MEX,V00047,SUC00056,6/1/2021,47,500.000,"10638,29787",65.000
P00017,C00003,CLI00486,GUA,V00056,SUC00017,11/5/2017,5,260.000,52000,33.800
P00017,C00003,CLI00486,HON,V00006,SUC00030,14/5/2018,24,250.000,"10416,66667",35.000
P00017,C00003,CLI00486,HON,V00006,SUC00030,14/5/2021,24,250.000,"10416,66667",35.000
P00017,C00003,CLI00600,CRI,V00060,SUC00022,17/3/2019,8,110.000,13750,15.400
P00017,C00003,CLI00600,ESP,V00045,SUC00008,3/3/2019,21,220.000,"10476,19048",37.400
P00017,C00003,CLI00283,ARG,V00053,SUC00006,11/2/2019,31,410.000,"13225,80645",28.700
P00017,C00003,CLI00715,MEX,V00048,SUC00053,9/8/2017,19,200.000,"10526,31579",14.000
P00017,C00003,CLI00364,PER,V00038,SUC00035,9/8/2018,17,180.000,"10588,23529",34.200
P00017,C00003,CLI00364,PER,V00038,SUC00035,9/8/2021,17,180.000,"10588,23529",34.200
P00017,C00003,CLI00331,MEX,V00019,SUC00005,17/11/2018,3,380.000,"126666,6667",19.000
P00017,C00003,CLI00331,MEX,V00019,SUC00005,17/11/2020,3,380.000,"126666,6667",19.000
P00017,C00003,CLI00371,DOM,V00004,SUC00041,27/5/2016,26,270.000,"10384,61538",16.200
P00017,C00003,CLI00371,DOM,V00004,SUC00041,27/5/2020,26,270.000,"10384,61538",16.200
P00017,C00003,CLI00140,CRI,V00055,SUC00052,17/5/2018,5,60.000,12000,"0,48"
P00017,C00003,CLI00140,CRI,V00055,SUC00052,17/5/2021,5,60.000,12000,"0,48"
P00017,C00003,CLI00529,ARG,V00017,SUC00045,25/5/2017,2,30.000,15000,"0,21"
P00017,C00003,CLI00529,COL,V00039,SUC00012,21/7/2018,1,20.000,20000,"0,24"
P00017,C00003,CLI00529,COL,V00039,SUC00012,21/7/2021,1,20.000,20000,"0,24"
P00017,C00003,CLI00529,URU,V00027,SUC00065,31/7/2017,20,250.000,12500,50.000
P00017,C00003,CLI00529,URU,V00027,SUC00065,31/7/2020,20,250.000,12500,50.000
P00017,C00003,CLI00529,URU,V00041,SUC00058,19/3/2016,28,290.000,"10357,14286",17.400
P00017,C00003,CLI00529,URU,V00041,SUC00058,18/1/2020,28,290.000,"10357,14286",17.400
P00017,C00003,CLI00529,URU,V00041,SUC00058,19/3/2020,28,290.000,"10357,14286",17.400
P00017,C00003,CLI00742,ARG,V00042,SUC00043,7/12/2017,1,40.000,40000,"0,36"
P00017,C00003,CLI00742,ARG,V00042,SUC00043,7/12/2020,1,40.000,40000,"0,36"
P00017,C00003,CLI00742,GUA,V00005,SUC00013,14/12/2017,42,510.000,"12142,85714",91.800
P00017,C00003,CLI00742,GUA,V00005,SUC00013,14/12/2020,42,510.000,"12142,85714",91.800
P00017,C00003,CLI00742,HON,V00034,SUC00062,19/7/2017,44,970.000,"22045,45455",184.300
